branch,address,phone,position,bus,subway,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,access,tags,path
Arlington Library,"203 Arlington Ave. at Warwick St. Brooklyn, NY 11207",718.277.6105,"40.680456600000, -73.887288700000",Q24;Q56,J,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/arlington
Bay Ridge Library,"7223 Ridge Blvd. at 73rd St. Brooklyn, NY 11209",718.748.5709,"40.633650700000, -74.029523500000",B4;B9;B64;B70,R,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/bay-ridge
Bedford Library,"496 Franklin Avenue Brooklyn, NY 11238",718.623.0012,"40.681817000000, -73.956194800000",B25;B26;B48;B49,C;S,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;learning center;,https://www.bklynlibrary.org/locations/bedford
Borough Park Library,"1265 43rd St. at 13th Ave. Brooklyn, NY 11219",718.437.4085,"40.638920000000, -73.989122700000",B11;B16;B35,D,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;book drop;open sundays,https://www.bklynlibrary.org/locations/borough-park
Brighton Beach Library,"16 Brighton First Rd. at Brighton Beach Ave. Brooklyn, NY 11235",718.946.2917,"40.576178400000, -73.966799500000",B1;B68,B;Q,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brighton-beach
Brooklyn Heights Library,"109 Remsen Street Brooklyn, NY 11201",718.623.7100,"40.694073700000, -73.994015000000",B25;B26;B38;B41;B52,2;3;4;5;A;C;F;R,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/brooklyn-heights
Brower Park Library,"725 St. Marks Ave. at Nostrand Ave. Brooklyn, NY 11216",718.773.7208,"40.675355100000, -73.948610700000",B44;B45;B65,3;A;C,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brower-park
Brownsville Library,"61 Glenmore Ave. at Watkins St. Brooklyn, NY 11212",718.498.9721,"40.671344700000, -73.908388200000",B12;B14;B60,3;J;L,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brownsville
Bushwick Library,"340 Bushwick Avenue Brooklyn, NY 11206",718.602.1348,"40.704528500000, -73.939602100000",B43;B46;B57;B60,J;L;M,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/bushwick
Canarsie Library,"1580 Rockaway Pkwy. at Ave. J Brooklyn, NY 11236",718.257.6547,"40.642131900000, -73.899383100000",B6;B42;B60;B82,L,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;,https://www.bklynlibrary.org/locations/canarsie
Carroll Gardens Library,"396 Clinton St. Brooklyn, NY 11231",718.596.6972,"40.683229000000, -73.998031000000",,F;G,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/carroll-gardens
Central Library,"10 Grand Army Plaza Brooklyn, NY 11238",718.230.2100,"40.672480800000, -73.968208400000",B41,2;3;B;Q,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 6:00pm,\n9:00am - 6:00pm,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open late;learning center;passport office;book drop;open sundays,https://www.bklynlibrary.org/locations/central
Clarendon Library,"2035 Nostrand Ave. Brooklyn, NY 11210",718.421.1159 ,"40.635736900000, -73.947958200000",B6;B11;B41;B44;Q35,2;5,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/clarendon
Clinton Hill Library,"380 Washington Ave. at Lafayette Ave. Brooklyn, NY 11238",718.398.8713,"40.687335100000, -73.965652500000",B25;B26;B38;B52;B69,C;G,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/clinton-hill
Coney Island Library,"1901 Mermaid Ave. (Near W. 19th St.) Brooklyn, NY 11224",718.265.3220,"40.576787100000, -73.986084500000",B36;B64;B68;B74;B82,D;F;N;Q,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/coney-island
Cortelyou Library,"1305 Cortelyou Rd. at Argyle Rd. Brooklyn, NY 11226",718.693.7763,"40.640611400000, -73.965786200000",B68;B103,Q,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/cortelyou
Crown Heights Library,"560 New York Ave. at Maple St. Brooklyn, NY 11225",718.773.1180,"40.661222500000, -73.947784400000",B43;B44,2;5,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/crown-heights
Cypress Hills Library,"1197 Sutter Ave. at Crystal St. Brooklyn, NY 11208",718.277.6004,"40.672461600000, -73.874045900000",B14;B15,3;A;C,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/cypress-hills
DeKalb Library,"790 Bushwick Ave. at DeKalb Ave. Brooklyn, NY 11221",718.455.3898,"40.694673900000, -73.928512600000",B38;B46;B47,J;Z,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/dekalb
Dyker Library,"8202 13th Ave. (@ 82nd St.) Brooklyn, NY 11228",718.748.6261,"40.616345000000, -74.011543000000",B64,D,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/dyker
East Flatbush Library,"9612 Church Ave. at. Rockaway Pkwy. Brooklyn, NY 11212",718.922.0927,"40.655630900000, -73.915057000000",B8;B15;B35,3,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/east-flatbush
Eastern Parkway Library,"1044 Eastern Pkwy. at Schenectady Ave. Brooklyn, NY 11213",718.953.4225,"40.668486100000, -73.933640000000",B14;B17;B46;B47,3;4,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/eastern-parkway
Flatbush Library,"22 Linden Blvd. at Flatbush Ave. Brooklyn, NY 11226",718.856.0813,"40.651921600000, -73.958350100000",B12;B16;B35;B41;B49,2;5;B;Q,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/flatbush
Flatlands Library,"2065 Flatbush Ave. at Ave. P Brooklyn, NY 11234",718.253.4409,"40.619787800000, -73.933188400000",B9;B41;B82;Q35,,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/flatlands
Fort Hamilton Library,"9424 Fourth Ave. Brooklyn, NY 11209",718.748.6919,"40.616363800000, -74.031267300000",B8;B63,R,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/fort-hamilton
Gerritsen Beach Library,"2808 Gerritsen Ave. Brooklyn, NY 11229",718.368.1435,"40.591429200000, -73.923943500000",B31,B;Q,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/gerritsen-beach
Gravesend Library,"303 Ave. X at West. 2nd St. Brooklyn, NY 11223",718.382.5792,"40.590383800000, -73.971705300000",B1,F;N,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/gravesend
Greenpoint Library,"107 Norman Ave. at Leonard St. Brooklyn, NY 11222",718.349.8504,"40.725983000000, -73.950714300000",B24;B43;B48;B62,G,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;closed for renovation;,https://www.bklynlibrary.org/locations/greenpoint
Highlawn Library,"1664 W. 13th St. at Kings Highway Brooklyn, NY 11223",718.234.7208,"40.605667100000, -73.986224100000",B4;B6;B82,D;F;N,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/highlawn
Homecrest Library,"2525 Coney Island Ave. at Ave. V Brooklyn, NY 11223",718.382.5924,"40.595206500000, -73.960475000000",B3;B68,Q,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/homecrest
Jamaica Bay Library,"9727 Seaview Ave. at E. 98th St. near Rockaway Pkwy. Brooklyn, NY 11236",718.241.3571,"40.634492800000, -73.889279700000",B17;B42;B103,L,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/jamaica-bay
Kensington Library,"4207 18th Avenue Brooklyn, NY 11218",718.436.0545,"40.631301900000, -73.975401500000",B8,F,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/kensington
Kings Bay Library,"3650 Nostrand Ave. (near Ave. W) Brooklyn, NY 11229",718.368.1709,"40.594795500000, -73.941127100000",B36;B44,2;B;Q,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/kings-bay
Kings Highway Library,"2115 Ocean Ave. Brooklyn, NY 11229",718.375.3037,"40.610293000000, -73.953266400000",B2;B7;B31;B49;B82;B100,B;Q,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;passport office;book drop;open sundays,https://www.bklynlibrary.org/locations/kings-highway
Leonard Library,"81 Devoe St. at Leonard St. Brooklyn, NY 11211",718.486.6006,"40.713617300000, -73.947964700000",B24;B48;B62;Q59,G;L,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Not accessible,open now;,https://www.bklynlibrary.org/locations/leonard
Macon Library,"361 Lewis Ave. at Macon St. Brooklyn, NY 11233",718.573.5606,"40.683028300000, -73.934891600000",B15;B25;B26;B46,A;C,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open sundays,https://www.bklynlibrary.org/locations/macon
Mapleton Library,"1702 60th Street Brooklyn, NY 11204",718.256.2117,"40.623159200000, -73.989456000000",B8;B9;B23,D;N,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open sundays,https://www.bklynlibrary.org/locations/mapleton
Marcy Library,"617 DeKalb Ave. at Nostrand Ave. Brooklyn, NY 11216",718.935.0032,"40.691391400000, -73.951226700000",B38;B44;B48,G,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/marcy
McKinley Park Library,"6802 Fort Hamilton Pkwy (at 68th St.) Brooklyn, NY 11219",718.748.8001,"40.629175300000, -74.011876400000",B16;B64;B70,N,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/mckinley-park
Midwood Library,"975 East 16th St. at Avenue J Brooklyn, NY 11230",718.252.0967,"40.625907000000, -73.960400500000",B6;B11;B49;B68,Q,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;book drop;open sundays,https://www.bklynlibrary.org/locations/midwood
Mill Basin Library,"2385 Ralph Ave (near Ave N) Brooklyn, NY 11234",718.241.3973,"40.619921200000, -73.917309900000",B3;B6;B41;B47;B82;B100,2;5,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/mill-basin
New Lots Library,"665 New Lots Ave. at Barbey St. Brooklyn, NY 11207",718.649.0311,"40.665455900000, -73.884829000000",B6;B15;B84,3,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open sundays,https://www.bklynlibrary.org/locations/new-lots
New Utrecht Library,"1743 86th St. at Bay 17th St. Brooklyn, NY 11214",718.236.4086,"40.608043900000, -74.003392800000",B1;B8,D,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/new-utrecht
Pacific Library,"25 Fourth Ave. at Pacific St. Brooklyn, NY 11217",718.638.1531,"40.683405000000, -73.978537000000",B41;B63;B65;B67;B103,2;3;4;5;B;D;M;N;Q;R,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Not accessible,temporary closing;,https://www.bklynlibrary.org/locations/pacific
Paerdegat Library,"850 E. 59th St. at Paerdegat Ave. South Brooklyn, NY 11234",718.241.3994,"40.632615200000, -73.919667200000",B6;B47;B82,2;5,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/paerdegat
Park Slope Library,"431 6th Ave. at 9th St. Brooklyn, NY 11215",718.832.1853,"40.668217400000, -73.983416200000",B61;B67;B69,F;G;R,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/park-slope
Red Hook Library,"7 Wolcott St Brooklyn, NY 11231",718.935.0203,"40.675310100000, -74.010281800000",B61,F;G,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/red-hook
Rugby Library,"1000 Utica Ave. Brooklyn, NY 11203",718.566.0054,"40.648678300000, -73.930050100000",B35;B46,2;3;4,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;closed for renovation;book drop;,https://www.bklynlibrary.org/locations/rugby
Ryder Library,"5902 23rd Ave. Brooklyn, NY 11204",718.331.2962,"40.615897700000, -73.975682600000",B6;B9,F,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open sundays,https://www.bklynlibrary.org/locations/ryder
Saratoga Library,"8 Thomas S. Boyland St. at Macon St. Brooklyn, NY 11233",718.573.5224,"40.684875000000, -73.915123900000",B7;B26;Q24,J,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;temporary closing;,https://www.bklynlibrary.org/locations/saratoga
Sheepshead Bay Library,"2636 E. 14th St. at Ave. Z Brooklyn, NY 11235",718.368.1815,"40.586965100000, -73.955407100000",B4;B36;B49;B68,B;Q,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;,https://www.bklynlibrary.org/locations/sheepshead-bay
Spring Creek Library,"12143 Flatlands Ave. at New Jersey Ave. Brooklyn, NY 11207",718.257.6571,"40.653263700000, -73.885964100000",B6;B20;B82;B83,3,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/spring-creek
Stone Avenue Library,"581 Mother Gaston Boulevard Brooklyn, NY 11212",718.485.8347,"40.664473800000, -73.905160700000",B14;B60,3;L,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/stone-avenue
Sunset Park Library,"5108 4th Ave. at 51st St. Brooklyn, NY 11220",718.567.2806,"40.645923100000, -74.013658200000",B11;B63,N;R,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;closed for renovation;book drop;,https://www.bklynlibrary.org/locations/sunset-park
Ulmer Park Library,"2602 Bath Ave at 26th Ave Brooklyn, NY 11214",718.265.3443,"40.592635300000, -73.988653900000",B1;B3;B4;B6;B64;B82,D,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/ulmer-park
Walt Whitman Library,"93 Saint Edwards Street Brooklyn, NY 11205",718.935.0244,"40.694463200000, -73.977726700000",B54,4;5;A;B;F;Q;R,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/walt-whitman
Washington Irving Library,"360 Irving Ave. (at Woodbine St.) Brooklyn, NY 11237",718.628.8378,"40.697511100000, -73.912229800000",B13;B18;B26;B52;B54;Q55;Q58,J;L;M,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/washington-irving
Williamsburgh Library,"240 Division Ave. at Marcy Ave. Brooklyn, NY 11211",718.302.3485,"40.706870800000, -73.957264300000",B24;B32;B39;B44;B46;B60;B62;Q54;Q59,G;J;M;Z,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/williamsburgh
Windsor Terrace Library,"160 E. 5th St. at Ft. Hamilton Pkwy. Brooklyn, NY 11218",718.686.9707,"40.648730900000, -73.976531700000",B16;B67;B68,F;G,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/windsor-terrace
