,Author
"Seba, Jaime",10
"Peters, Julie Anne",9
"Shimura, Takako",8
"Sanchez, Alex",6
"Hutchinson, Shaun David",6
"Wells, Maggie",6
"Aguilar Zeleny, Sylvia",6
"Konigsberg, Bill",5
"Albertalli, Becky",5
"Levithan, David",5
"Talley, Robin",4
"Harris, Duchess",4
"Garden, Nancy",4
"Craft, Jerry",4
"Woodson, Jacqueline",4
"Silvera, Adam",4
"Madaras, Lynda",3
"Cronn-Mills, Kirstin",3
Tamara L. Roleff,3
"Blake, Ashley Herring",3
"Richardson, Justin",3
"Clarke, Cat",3
"Lookadoo, Justin",3
"Reynolds, Marilyn",3
"Moskowitz, Hannah",3
"Mac, Carrie",3
"Harris, E. Lynn",3
"Newman, Lesléa",3
William Dudley,3
"Palmer, Bill",3
"Stevenson, Robin",3
David Haugen,3
"Wittlinger, Ellen",3
Noël Merino,3
"Harris, Robie H.",3
"Endersbe, Julie",3
"McIntosh, Kenneth",3
"Cohn, Rachel",2
"Russo, Meredith",2
"Callender, Kacen",2
"Coates, Ta-Nehisi",2
"Salazar, Aida",2
James D. Torr,2
"Farizan, Sara",2
"Stamper, Phil",2
"Clark, Kristin Elizabeth",2
"Englander, Anrenée",2
Christine Watkins,2
"Saenz, Benjamin Alire",2
"Polonsky, Ami",2
"Coulthurst, Audrey",2
"Sanders, Rob",2
"Ellis, Grace",2
"Self, Jeffery",2
"Schmatz, Pat",2
"Sharpe, Tess",2
"Hoffman, Sarah",2
"Higginbotham, Anastasia",2
"Nichols, Hedreich",2
"Dawson, Juno",2
"Sim, Tara",2
"Nelson, Jandy",2
"Daniels, April",2
"Nardo, Don",2
"Howard, Greg",2
"Nagle, Jeanne",2
"Smith, Amber",2
"Smith, Andrew",2
"Herda, D. J.",2
"Hudson, David L.",2
"Myracle, Lauren",2
"Corinna, Heather",2
"Solomon, Andrew",2
Myra H. Immell,2
"Tamaki, Mariko",2
"Federle, Tim",2
Tamara Thompson,2
"Lo, Malinda",2
"Verdi, Jessica",2
"Kerr, M. E.",2
"Bell, William",2
"Walden, Mark",2
"Brynie, Faith Hickman",2
"Gay, Kathlyn",2
"Basso, Michael J.",2
"Barakiva, Michael",2
"London, Alex",2
"Knowles, Johanna",2
"Bildner, Phil",2
"Aros, Dana",2
"Gino, Alex",2
"La Sala, Ryan",2
"LaCour, Nina",2
"Wilson, Martin",2
"Gold, Susan Dudley",2
"Prager, Sarah",2
"Gowen, L. Kris",2
"Goslee, S. J.",2
"Kendi, Ibram X.",2
"Garvin, Jeff",2
"Dos Santos, Steven",2
"Marcovitz, Hal",2
"Floreen, Tim",2
"Parks, Peggy J.",2
"Hartinger, Brent",2
"Rodi, Robert",2
"Tregay, Sarah",2
"Brown, Jaye Robin",2
"Jukes, Mavis",2
"Plum-Ucci, Carol",1
"O'Hearn, Audrey",1
"Pitt, Steve",1
"Pluckrose, Helen",1
"Ostrovski, Emil",1
"O'Donnell, Kerri",1
"Painter, Nell Irvin",1
"Pitman, Gayle E.",1
"Podos, Rebecca",1
"O'Connor, Maureen",1
"Nutt, Amy Ellis",1
"Pardes, Bronwen",1
"Papademetriou, Lisa",1
"Nowinski, Hanna",1
"Oshiro, Mark",1
"Peacock, Judith",1
"Petrus, Junauda",1
"Olsen, Sylvia",1
"Payment, Simone",1
Olivia Ferguson,1
"Peck, Richard",1
"Patterson, Richard North",1
"Patterson, James",1
"Pelleschi, Andrea",1
"Penne, Barbra",1
"Perez, Ashley Hope",1
"Ortiz, Paul",1
"Perkins, Stephanie C.",1
"Peters, Diane",1
"Patel, Sonia",1
"Petrikowski, Nicki Peter",1
"Oluo, Ijeoma",1
"Oliver, Marilyn Tower",1
"Peck, Dale",1
"Ogden, Charlie",1
Aarti D. Stephens,1
"Norris, Michele",1
"Manzer, Jenny",1
"Lundin, Britta",1
"Lurie, April",1
Lynette Knapp,1
"Lyon, George Ella",1
"Machado, Carmen Maria",1
"Maison, Corey",1
"Mapua, Jeff",1
"Nordberg, Jenny",1
Mariana Romo-Carmona,1
"Marino, Peter",1
Marion Dane Bauer,1
Mark J. Kittleson,1
"Markovics, Joyce L.",1
Mary E. Williams,1
"Lukoff, Kyle",1
"Luker, Kristin",1
"Lukavics, Amy",1
Lucinda Almond,1
"Lowenstein, Felicia",1
"Love, Jessica",1
Lisa Frick,1
"Linn, Laurent",1
"Limb, Sue",1
Lillian Faderman,1
"Light, Kate",1
"Lieberman, Leanne",1
"Levine, Ellen",1
"Léonard, Marie des Neiges",1
"Lee, Victoria",1
"Lee, Stacey",1
"Lee, Darrien",1
"Mason, Jane B.",1
"Mastoon, Adam",1
"Mayeno, Laurin",1
"Miller, Linsey",1
Norah Piehl,1
"Nolan, Mary",1
Noah Berlatsky,1
Nicki Peter Petrikowski,1
"Newbery, Linda",1
"Neal, Trinity",1
"Naylor, Phyllis Reynolds",1
"Nagara, Innosanto",1
"Polacco, Patricia",1
"Morowitz, Harold J.",1
"Moore, Alan",1
"Mooney, Carla",1
"Mitchell, Saundra",1
"Mirk, Sarah",1
Michael Cart,1
"Mayle, Peter",1
"Mesrobian, Carrie",1
"Menon, Alok",1
"Mendoza, Jean",1
"Memory, Jelani",1
"Melleby, Nicole",1
Meghan Powers,1
"McLemore, Anna-Marie",1
"McInerney-Whiteford, Merry",1
"McEwen, Scott",1
"McDaniel, Breanna",1
"McCoy, Kathy",1
"McClintock, Norah",1
"McBride, Sarah",1
"McAdam, Tash",1
"Moynihan, Lindsay",1
"Rogers, Amy B.",1
"Pollack, Rachel",1
"Pomeroy, Wardell Baxter",1
"Telgemeier, Raina",1
"Tenold, Vegas",1
"Terrell, Brandon",1
"Thomas, Aiden",1
"Thomas, Rachel L.",1
"Thorn, Theresa",1
"Todd, Ilima",1
"Tonatiuh, Duncan",1
"Trueman, Terry",1
"Trung, Le Nguyen",1
"Tyndall, Nita",1
"Tyner, Artika R.",1
"U'ren, Andrea",1
"Uhlig, Richard Allen",1
"Valentine, Jenny",1
"Taylor, William",1
"Tarttelin, Abigail",1
"Tarbox, Katherine",1
"Stevenson, Robin H.",1
"St. James, James",1
"Stanborough, Rebecca",1
"Stanley, Cleo",1
"Steinhöfel, Andreas",1
"Stevens, Leonard A.",1
"Stevenson, Noelle",1
"Stone, Nic",1
"Talusan, Meredith",1
"Straight, Susan",1
"Styron, William",1
"Sugiura, Misa",1
Susan Henneberg,1
"Sutton, Roger",1
T. Cole Rachel,1
"Vande Velde, Vivian",1
"Vaughan, Brian K.",1
"Velásquez, Gloria",1
"Wilkinson, Lili",1
"Whitney, Catherine",1
"Wieler, Diana J.",1
"Wilcox, Christine",1
"Wilder, Craig Steven",1
"Wilke, Daria",1
"Wilkerson, Isabel",1
"Williamson, Lisa",1
"Whaley, John Corey",1
"Wilson, Jacqueline",1
"Winfield, Cynthia L.",1
"Witton, Hannah",1
"Woods, Sara",1
"Worth, Richard",1
"Wright, Bil",1
"Whitlock, Kay",1
"Weyer, Hannah",1
"Venable, Colleen A. F.",1
"Wallace, Rich",1
Video,1
"Vigna, Judith",1
"Villasante, Alexandra",1
"Vitale, Ann E.",1
"Volponi, Paul",1
"Walden, Tillie",1
"Walther, K.L.",1
"Westerfeld, Scott",1
"Walton, Jess",1
"Walton, Will",1
"Watkins, James",1
"Weddington, Sarah Ragle",1
"Weill, Sabrina Solin",1
"Wersba, Barbara",1
"Springer, Nancy",1
"Spilsbury, Louise",1
"Specksgoor, Meg",1
Roman Espejo,1
"Rivera, Gabby",1
Robert N. Golden,1
"Roehrig, Caleb",1
Roger Smith,1
"Lawson, Richard",1
"Romaine, Deborah S",1
"Rorby, Ginny",1
"Reynolds, Jason",1
"Rose, Melody",1
"Rosen, Michael J.",1
"Rudetsky, Seth",1
"Rutkoski, Marie",1
"Rutledge, A. B.",1
"Ryan, Sara",1
Richard Delgado,1
"Rebele-Henry, Brynne",1
"Saad, Layla",1
"Quindlen, Kelly",1
"Popović, Lana",1
"Prendergast, Gabriell",1
"Press, Eyal",1
"Prince, Liz",1
"Pritchett, Laura",1
"Quindlen, Anna",1
"Quintero, Isabel",1
"Rayne, Karen",1
"Radziszewicz, Tina",1
"Rainfield, C. A.",1
"Ramee, Lisa Moore",1
"Ramos, NoNieqa",1
"Rankine, Claudia",1
"Raskin, Jamin B.",1
"Ryan, Tom",1
"Salvatore, Steven",1
"Spangler, Brie",1
"Sloan, Brian",1
"Silverberg, Cory",1
"Silverstein, Alvin",1
"Simons, Rae",1
"Skelton, J. Wallace",1
"Skrutskie, Emily",1
"Slater, Dashka",1
"Smedley, Zack",1
"Sie, James",1
"Smith, Devlin",1
"Smith, Mychal Denzel",1
"Smith, Niki",1
"Sommer, Carl",1
"Sones, Sonya",1
"Spalding, Amy",1
"Silver, Diane",1
"Shrock, Marissa",1
Sandra Augustyn Lawton,1
"Scelsa, Kate",1
"Sanger, Alexander",1
"Sanna, Emily",1
Sarah Moon,1
"Sass, A. J.",1
Saundra Mitchell,1
"Sax, Leonard",1
"Schaeffer, Teresa",1
"Sherrard, Brent R.",1
"Scholinski, Daphne",1
"Schrag, Ariel",1
"Selzer, Adam",1
"Shantz-Hilkes, Chloe",1
"Sharif, Meghan",1
"Shaw, Tucker",1
"Lecesne, James",1
"Khan-Cullors, Patrisse",1
"Lawson, Jamie",1
"Crichton, Michael",1
"Curato, Mike",1
"Currie-McGhee, L. K.",1
"Cush, Cathie",1
"Daldry, Jeremy",1
Dan Savage,1
"Danforth, Emily M.",1
"Daniels, Babygirl",1
David Haugen et al,1
"Davis, Tanita S.",1
"De Medeiros, James",1
"De Oliveira, Eddie",1
"De Robertis, Carolina",1
Deborah A. Stanley,1
"Dee, Barbara",1
"Devine, Eric",1
"Crutcher, Chris",1
"Craig, Joe",1
"Diamond, Shifra",1
"Cotugno, Katie",1
Charles Cozic,1
Chii (Mangaka),1
"Childress, Alice",1
Christina Fisanick,1
"Clare, Cassandra",1
"Clarke, Cassandra Rose",1
"Colbert, Brandy",1
"Cole, Joanna",1
"Collins, B. R.",1
"Collins, Mary",1
"Collins, Paul",1
"Conley, Garrard",1
"Connor, Leslie",1
"Cook, Trish",1
"Córdova, Zoraida",1
"Dhondy, Farrukh",1
"Dietrich, Cale",1
"Cashore, Kristin",1
Emma Carlson Berne,1
Esther Hertzog,1
"Eugenides, Jeffrey",1
"Evans, Shane",1
"Evison, Jonathan",1
"Fantauzzo, Laurel Flores",1
"Farrell, Courtney",1
"Farrey, Brian",1
"Fast, Julius",1
"Faux, Marian",1
"Feinberg, Anna",1
"Feinstein, Stephen",1
"Ferris, Jean",1
"Finneyfrock, Kare",1
"Firmston, Kim",1
"Ford, Michael Thomas",1
"Erickson, Leigh Ann",1
"Emezi, Akwaeke",1
"Dinnison, Kris",1
"Elmendorf, Dana",1
"Doeden, Matt",1
"Dolan, Edward F.",1
"Donaldson-Forbes, Jeff",1
"Donovan, John",1
"Drageset, Stacy",1
"Drill, Esther",1
"Drucker, Dan",1
"Dugan, Jennifer",1
"Dunbar, Helene",1
"Durant, Penny Raife",1
"Durrett, Deanne",1
"Duyvis, Corinne",1
"Eagan, Andrea Boroff",1
"Efaw, Amy",1
"Ellis, Deborah",1
"Cassedy, Patrice",1
"Carter, Caela",1
Lauri S. Scherer,1
"Atta, Dean",1
"Atwood, Megan",1
Auriana Ojeda,1
"Bach, Mette",1
"Bailey, Jacqui.",1
"Baldacchino, Christine",1
"Baldwin, Kim",1
"Baratz-Logsted, Lauren",1
"Bartoletti, Susan Campbell",1
"Barzak, Christopher",1
"Bass, Ellen",1
"Bayron, Kalynn",1
"Bean, Lexie",1
"Beckman, Wendy Hart",1
"Bell, Alex",1
"Bell, Eric",1
"Atwood, Margaret",1
"Arnold, Elana K.",1
"Benincasa, Sara",1
"Apelqvist, Eva",1
"Abrahams, George",1
"Agell, Charlotte",1
"Ahmadi, Arvin",1
"Ahmed, Sara",1
Al Desetta,1
"Alexander, Michelle",1
"Alsenas, Linas",1
"Altman, Linda Jacobs",1
"Alvarez, Alex",1
"Ameiss, Bill",1
Amnesty International,1
"Anderson, Laurie Halse",1
"Andrews, Arin",1
"Andrews, Jesse",1
Annie Harper,1
"Bell, Ruth",1
"Bennett, Michae",1
"Cart, Michael",1
"Brewer, Z",1
"Bridges, Ruby",1
"Brooks, Kevin",1
"Brown, Laurene Krasny",1
"Brown, Savannah",1
"Brugman, Alyssa",1
"Buckhanon, Kalisha",1
"Buckingham, Robert W.",1
"Bull, David",1
"Bunker, Lisa",1
"Burch, Christian",1
"Burd, Nick",1
"Callender, Kheryn",1
"Cannadine, David",1
"Capetta, Amy Rose",1
"Carlton, Susan R.",1
"Brezina, Corona",1
"Brennan, Sarah Rees",1
"Benson, Michael D.",1
Brenda Stalcup,1
"Benwell, Fox",1
"Bertie, Alex",1
Betsy Franco,1
"Bick, Ilsa J.",1
"Birdsall, Bridget",1
"Bjorkman, Lauren",1
"Blackall, Sophie",1
"Blake, Ashley Herrin",1
"Block, Francesca Lia",1
"Blumenthal, Karen",1
"Bode, Janet",1
"Boyd, George A.",1
"Boyd, Maria",1
"Bradshaw, Cheryl M.",1
"Brandon, James",1
"Forssberg, Manne",1
"Fowley-Doyle, Moïra",1
"Fox, Paula",1
"Jacobs, Evan",1
Jacqueline L. Longe,1
James A. Banks,1
"James, Rory",1
"Jamiolkowski, Raymond M.",1
Jennifer A. Hurley,1
Jennifer L. Armentrout,1
"Jennings, Jazz.",1
"Jewell, Tiffany",1
"Johnson, Cathy G.",1
"Johnson, Kathleen Jeffrie",1
"Johnson, Maureen",1
"Johnson, Varian",1
"Jones, Carrie",1
"Jones, Patrick",1
"Juby, Susan",1
"Jacobson, Jennifer",1
"Irving, John",1
"Jussim, Daniel",1
"Irvine, Janice M.",1
Hope Nicholson,1
"Hopkins, Ellen",1
"Horner, Emily",1
"Howe, James",1
"Hrdlitschka, Shelley",1
"Huegel, Kelly",1
"Hughes, Susan",1
"Hughes, Tracy",1
"Hunter, Miranda",1
"Hurwin, Davida",1
"Hyde, Catherine Ryan",1
"Hyde, Margaret O.",1
"Hyde, Natalie",1
"Hyman, Miles",1
Ilan Stavans,1
"Juettner, Bonnie",1
Justin Karr,1
"Franklin, Emily",1
"Kingston, Anna",1
"Klein, Rebecca T.",1
"Klise, James",1
"Klobuchar, Amy",1
"Kluger, Steve",1
"Kobabe, Maia",1
"Koenig, Andrea",1
"Koertge, Ronald",1
"Kuklin, Susan",1
"Labelle, Sophie",1
"Ladner, Joyce A",1
"Lange, Donna",1
"Larimore, Walter L.",1
"LaRochelle, David",1
"Lassieur, Allison",1
"Lauren, Christina",1
"Klehr, Dawn",1
"King, Shani M.",1
"Kahaner, Ellen",1
"King, A. S.",1
"Kann, Claire",1
"Karcz, Lauren",1
"Karre, Elizabeth",1
"Katcher, Brian",1
"Keil, Melissa",1
Ken R. Wells,1
"Kendall, Mikki",1
"Kergil, Skylar",1
"Kern, Peggy",1
"Kessler, Liz",1
"Ketchum, Liza",1
"Keyser, Amber",1
"Aaseng, Nathan",1
"Khan, Sabina",1
"Khorram, Adib",1
"Hoole, Elissa Janine",1
"Homes, A. M.",1
"Holt, K. A.",1
"Girard, M-E.",1
"Goldman, Steven",1
"Gonzales, S.",1
"Gonzalez, Maya Christina",1
"Gonzalez, Rigoberto",1
"Goode, L.",1
"Goodman, Ellen",1
"Gorney, Cynthia",1
"Grace, Amanda",1
"Gramont, Nina de",1
"Green, John",1
"Greene, Bette",1
"Greenman, Catherine",1
"Gregorio, I. W.",1
"Grehan, Meg",1
"Grimes, Nikki",1
"Glassman, Bruce",1
"Gillman, Melanie",1
"Holmes, Melisa",1
"Gibson, Heath",1
"Freeman, Shannon",1
"Freymann-Weyr, Garret",1
"Frick, Kit",1
"Gabriel, Dani",1
"Gailey, Sarah",1
"Gale, Heather",1
"Garber, Romina",1
"Garsee, Jeannine",1
"Gates, Henry Louis, Jr.",1
"Geerling, Marjetta",1
"Genhart, Michael",1
"Gennari, Jennifer",1
"George, Elizabeth",1
"George, Madeleine",1
"Gephart, Donna",1
"Gurian, Michael",1
"Gutting, Gary",1
"Haack, Daniel",1
"Hale, Samantha",1
"Heppermann, Christine",1
"Herman, Christine Lynn",1
"Herthel, Jessica",1
"Herzog, Brad",1
"Higgins, Melissa",1
"Hill, Katie Rain",1
"Hillstrom, Laurie Collier",1
"Hinebaugh, Olivia",1
"Hinton, Kerry",1
"Hirschmann, Kris",1
"Hitchcock, Shannon",1
"Hoblin, Paul",1
"Hocking, Amanda",1
"Hoffman, Eric",1
"Hollander, Barbara Gottfried",1
"Hennessey, M. G.",1
"Hendriks, Jenni",1
"Henderson, Elisabeth",1
"Harmon, Michael B.",1
"Hamen, Susan E.",1
"Hammerslough, Jane",1
"Hand, Carol",1
"Haney, Johannah",1
"Hanley, Tim",1
"Hardy, Mark",1
"Harris, Michael",1
"Helms, Rhonda",1
"Harrison, Rory",1
"Hashimi, Nadia",1
"Hasler, Nikol",1
"Hawkins, Rachel",1
"Heaney, Katie",1
"Helms, Antje",1
"Wyeth, Sharon Dennis",1
