school_year,title,number_banned,share_of_top_5
2021_2022,Gender Queer: A Memoir,81,25.1552795
2021_2022,All Boy's Aren't Blue,67,20.80745342
2021_2022,Out of Darkness,51,15.83850932
2021_2022,The Bluest Eye,45,13.97515528
2021_2022,Lawn Boy,43,13.35403727
2021_2022,The Hate U Give,35,10.86956522
2022_2023,Gender Queer: A Memoir,32,28.57142857
2022_2023,Flamer,21,18.75
2022_2023,Crank,20,17.85714286
2022_2023,All Boys Aren't Blue,20,17.85714286
2022_2023,A Court of Mist and Fury,19,16.96428571